;157;Abhasia;Абхазия
3269;348;Albania;Албания
4599;198;Algeria;Алжир
448;93;Andorra;Андорра
288;164;Anguilla;Ангилья
3026;224;Antarctida;Антарктида
;149;"Antigua and Barbuda";"Антигуа и Барбуда"
2285;174;Argentina;Аргентина
3443;100;Armenia;Армения
;155;Aruba;Аруба
411;95;Australia;Австралия
1;9;Austria;Австрия
;92;Azerbaidjan;Азербайджан
2;657;"Bosnia and Herzegovina";"Босния и Герцеговина"
3018;148;Bahamas;"Багамские острова"
;211;Bahrain;Бахрейн
;643;Bangladesh;Бангладеш
;145;Barbados;Барбадос
285;39;Belgium;Бельгия
6098;453;Belize;Белиз
5767;28;Belorussia;Беларусь
;648;Benin;Бенин
3012;227;Bermuda;"Бермудские острова"
3488;130;Bhutan;Бутан
4517;161;Bolivia;Боливия
3025;176;Botswana;Ботсвана
47;121;Brazil;Бразилия
;188;Brunei;Бруней
3;35;Bulgaria;Болгария
51;194;"Cambodja ";Камбоджа
5787;197;Cameroon;Камерун
414;90;Canada;Канада
;485;"Cape Verde";Кабо-Верде
2499;159;Chili;Чили
197;99;China;Китай
3020;158;Colombia;Колумбия
;739;Comoros;"Коморские о-ва"
3294;1026;"Cook Islands";"Острова Кука"
416;183;"Costa Rica";"Коста - Рика"
5;8;Croatia;Хорватия
;326;Cruises;Круизы
21;76;Cuba;Куба
6;16;Cyprus;Кипр
9;7;Czech;Чехия
65;132;"Denmark ";Дания
;523;Djibouti;Джибути
10;42;Dominicana;"Доминиканская республика"
11;3;Egypt;Египет
;232;"El Salvador";Сальвадор
65;141;"Estonia ";Эстония
412;199;"Ethiopia       ";Эквадор
;1062;"Falkland Islands (Islas Malvinas)";"Фолклендские острова (Мальвинские)"
4221;163;Fidji;Фиджи
2187;111;Finland;Финляндия
13;11;France;Франция
370;233;Gambia;Гамбия
4219;151;Georgia;Грузия
58;17;Germany;Германия
5786;210;Ghana;Гана
;14;"Great Britain";Великобритания
14;10;Greece;Греция
;204;Greenland;Гренландия
;154;Grenada;Гренада
;168;Guadeloupe;Гваделупа
3329;184;Guatemala;Гватемала
;231;Honduras;Гондурас
41;23;Hungary;Венгрия
243;25;INDIA;Индия
286;83;Iceland;Исландия
39549;59;Indonesia;Индонезия
3027;186;Iran;Иран
;599;Iraq;Ирак
291;135;Ireland;Ирландия
54;80;Israel;Израиль
44;6;Italy;Италия
18;144;"Jamaica ";Ямайка
248;98;Japan;Япония
55;109;Jordan;Иордания
3248;88;Kazakhstan;Казахстан
