"num";"region";"country"
"1";"AUSTRIA";"YES"
"2";"BOŚNIA I HERCEGOWINA";"YES"
"3";"BUŁGARIA";"YES"
"5";"CHORWACJA";"YES"
"6";"CYPR";"YES"
"8";"CZARNOGORA";"YES"
"9";"CZECHY";"YES"
"10";"DOMINIKANA";"YES"
"11";"EGIPT";"YES"
"13";"FRANCJA";"YES"
"14";"GRECJA";"YES"
"15";"HISZPANIA";"YES"
"18";"JAMAJKA";"YES"
"19";"KENIA";"YES"
"21";"KUBA";"YES"
"22";"LITWA";"YES"
"24";"MALEDIWY";"YES"
"26";"MALTA";"YES"
"27";"MAROKO";"YES"
"28";"MAURITIUS";"YES"
"29";"MEKSYK";"YES"
"31";"PORTUGALIA";"YES"
"32";"RUMUNIA";"YES"
"34";"SINGAPUR";"YES"
"36";"SRI LANKA";"YES"
"38";"TUNEZJA";"YES"
"39";"TURCJA";"YES"
"40";"UKRAINA";"YES"
"41";"WĘGRY";"YES"
"42";"WENEZUELA";"YES"
"44";"WŁOCHY";"YES"
"47";"BRAZYLIA";"YES"
"49";"TAJLANDIA";"YES"
"50";"BIRMA";"YES"
"51";"KAMBODZA";"YES"
"54";"ISRAEL";"YES"
"55";"JORDANIA";"YES"
"56";"DANIA";"YES"
"58";"NIEMCY";"YES"
"59";"POLSKA";"YES"
"61";"SŁOWACJA";"YES"
"62";"SZWAJCARIA";"YES"
"64";"SENEGAL";"YES"
"65";"ESTONIA";"YES"
"67";"ROSJA";"YES"
"197";"CHINY";"YES"
"243";"INDIE";"YES"
"244";"PERU";"YES"
"248";"JAPONIA";"YES"
"263";"SŁOWENIA";"YES"
"284";"HOLANDIA";"YES"
"285";"BELGIA";"YES"
"286";"ISLANDIA";"YES"
"288";"ANGLIA";"YES"
"290";"SZKOCJA";"YES"
"291";"IRLANDIA";"YES"
"370";"GAMBIA";"YES"
"372";"EMIRATY ARABSKIE";"YES"
"411";"AUSTRALIA";"YES"
"412";"ETIOPIA";"YES"
"413";"INDONEZJA";"YES"
"414";"KANADA";"YES"
"415";"KOREA POŁUDNIOWA";"YES"
"416";"KOSTARYKA";"YES"
"417";"NOWA ZELANDIA";"YES"
"418";"ZAMBIA";"YES"
"421";"MAROCCO";"YES"
"448";"ANDORA";"YES"
"772";"PLAYA PARAISO";"YES"
"776";"PUERTO RICO";"YES"
"801";"REPUBLIKA ZIELONEGO PRZYLĄDKA";"YES"
"2187";"FINLANDIA";"YES"
"2285";"ARGENTYNA";"YES"
"2391";"NORWEGIA";"YES"
"2499";"CHILE";"YES"
"2500";"PANAMA";"YES"
"2501";"REUNION";"YES"
"2598";"REPUBLIKA POŁUDNIOWEJ AFRYKI";"YES"
"2599";"MALEZJA";"YES"
"2602";"NAMIBIA";"YES"
"2603";"FILIPINY";"YES"
"2607";"MADAGASKAR";"YES"
"2925";"SESZELE";"YES"
"2988";"POLINEZJA FRANCUSKA";"YES"
"2989";"TANZANIA";"YES"
"2991";"SZWECJA";"YES"
"3012";"BERMUDY";"YES"
"3018";"BAHAMY";"YES"
"3020";"KOLUMBIA";"YES"
"3022";"KARAIBY";"YES"
"3025";"BOTSWANA";"YES"
"3026";"ANTARKTYDA";"YES"
"3027";"IRAN";"YES"
"3028";"NEPAL";"YES"
"3029";"UGANDA";"YES"
"3030";"WIETNAM";"YES"
"3225";"MALAWI";"YES"
"3247";"MOZAMBIK";"YES"
"3248";"KAZACHSTAN";"YES"
"3269";"ALBANIA";"YES"
"3294";"WYSPY COOKA";"YES"
"3295";"EKWADOR";"YES"
"3329";"GWATEMALA";"YES"
"3414";"SERBIA";"YES"
"3443";"ARMENIA";"YES"
"3444";"MALI";"YES"
"3488";"BHUTAN";"YES"
"3500";"LIECHTENSTEIN";"YES"
"3629";"STANY ZJEDNOCZONE";"YES"
