"id";"name";"parentid";"mdsval";"lastapperance"
"1";"CZECHY";"0";"9:";"2012-11-05 15:00:10"
"2";"CZECHY WSCHODNIE";"1";"9_6075";"2012-11-05 15:00:01"
"3";"PORTUGALIA";"0";"31:";"2012-11-05 15:00:11"
"4";"ALGARVE";"3";"31_1321";"2012-11-05 15:00:10"
"5";"SZUMAWY";"1";"9_3000";"2012-11-05 15:00:10"
"6";"CZECHY PÓŁNOCNE";"1";"9_6080";"2012-11-05 15:00:01"
"7";"CHORWACJA";"0";"5:";"2012-11-05 15:00:11"
"8";"DALMACJA";"7";"5_44";"2012-11-05 15:00:01"
"9";"PRAGA";"1";"9_2197";"2012-11-05 15:00:10"
"10";"SŁOWACJA";"0";"61:";"2012-11-05 15:00:11"
"11";"SŁOWACJA PŁN.";"10";"61_6161";"2012-11-05 15:00:01"
"12";"COSTA VERDE";"3";"31_3874";"2012-11-05 15:00:10"
"13";"HOLANDIA";"0";"284:";"2012-11-05 15:00:11"
"14";"POŁUDNIOWA HOLANDIA";"13";"284_37850";"2012-11-05 15:00:10"
"15";"DALMACJA PÓŁNOCNA";"7";"5_1748";"2012-11-05 15:00:10"
"16";"STANY ZJEDNOCZONE";"0";"3629:";"2012-11-05 15:00:11"
"17";"NEVADA";"16";"3629_7139";"2012-11-05 15:00:11"
"18";"MALTA";"0";"26:";"2012-11-05 15:00:10"
"19";"WYSPA MALTA";"18";"26_4100";"2012-11-05 15:00:10"
"20";"NISKIE TATRY";"10";"61_1084";"2012-11-05 15:00:10"
"21";"MORAWY PŁN. I ŚLĄSK";"1";"9_6152";"2012-11-05 15:00:01"
"22";"FRANCJA";"0";"13:";"2012-11-05 15:00:11"
"23";"KORSYKA";"22";"13_5743";"2012-11-05 15:00:10"
"24";"BUŁGARIA";"0";"3:";"2012-11-05 15:00:11"
"25";"SŁONECZNY BRZEG";"24";"3_200";"2012-11-05 15:00:08"
"26";"CZARNOGORA";"0";"8:";"2012-11-05 15:00:01"
"27";"RIWIERA CZARNOGORSKA";"26";"8_1499";"2012-11-05 15:00:01"
"28";"HISZPANIA";"0";"15:";"2012-11-05 15:00:11"
"29";"MAJORKA";"28";"15_105";"2012-11-05 15:00:10"
"30";"MADERA";"3";"31_1776";"2012-11-05 15:00:10"
"31";"WYSPA PAG";"7";"5_1213";"2012-11-05 15:00:10"
"32";"LA PALMA";"28";"15_2625";"2012-11-05 15:00:10"
"33";"TURCJA";"0";"39:";"2012-11-05 15:00:11"
"34";"SIDE";"33";"39_156";"2012-11-05 15:00:11"
"35";"TAJLANDIA";"0";"49:";"2012-11-05 15:00:11"
"36";"PATTAYA";"35";"49_5836";"2012-11-05 15:00:08"
"37";"KALIFORNIA";"16";"3629_2733";"2012-11-05 15:00:11"
"38";"FLORYDA";"16";"3629_2731";"2012-11-05 15:00:10"
"39";"CZESKIE KARKONOSZE";"1";"9_3600";"2012-11-05 15:00:10"
"40";"UTAH";"16";"3629_7277";"2012-11-05 15:00:11"
"41";"NIEMCY";"0";"58:";"2012-11-05 15:00:10"
"42";"MEKLEMBURGIA";"41";"58_4014";"2012-11-05 15:00:10"
"43";"NADRENIA";"41";"58_5798";"2012-11-05 15:00:10"
"44";"WYB. ADRIATYKU";"26";"8_6158";"2012-11-05 15:00:01"
"45";"KVARNER";"7";"5_92";"2012-11-05 15:00:10"
"46";"CZECHY RODKOWE";"1";"9_1717";"2012-11-05 15:00:10"
"47";"TENERYFA";"28";"15_176";"2012-11-05 15:00:10"
"48";"KHAO LAK";"35";"49_38791";"2012-11-05 15:00:11"
"49";"IBIZA";"28";"15_2624";"2012-11-05 15:00:10"
"50";"CZECHY ZACHODNIE";"1";"9_6079";"2012-11-05 15:00:01"
"51";"MORAWY PŁD.";"1";"9_6154";"2012-11-05 15:00:01"
"52";"PÓŁNOCNA KAROLINA";"16";"3629_38390";"2012-11-05 15:00:08"
"53";"DOLNA SAKSONIA";"41";"58_3293";"2012-11-05 15:00:10"
"54";"BERLIN";"41";"58_1402";"2012-11-05 15:00:10"
"55";"ISTRIA";"7";"5_65";"2012-11-05 15:00:10"
"56";"KANADA";"0";"414:";"2012-11-05 15:00:11"
"57";"KOLUMBIA BRYTYJSKA";"56";"414_38413";"2012-11-05 15:00:11"
"58";"AUSTRIA";"0";"1:";"2012-11-05 15:00:11"
"59";"TYROL";"58";"1_1208";"2012-11-05 15:00:10"
"60";"ALANYA";"33";"39_3";"2012-11-05 15:00:11"
"61";"ARIZONA";"16";"3629_7276";"2012-11-05 15:00:11"
"62";"WASZYNGTON";"16";"3629_38433";"2012-11-05 15:00:08"
"63";"LANZAROTE";"28";"15_93";"2012-11-05 15:00:10"
"64";"WĘGRY";"0";"41:";"2012-11-05 15:00:10"
"65";"BUDAPESZT";"64";"41_1463";"2012-11-05 15:00:10"
"66";"KOLORADO";"16";"3629_38301";"2012-11-05 15:00:08"
"67";"ONTARIO";"56";"414_8621";"2012-11-05 15:00:11"
"68";"SAKSONIA";"41";"58_3412";"2012-11-05 15:00:10"
"69";"BAWARIA";"41";"58_3343";"2012-11-05 15:00:10"
